timestamp,protocol,src_ip,src_port,dst_ip,dst_port,size_bytes,alert
2026-05-22 16:56:26.229,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:56:26.643,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:26.852,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:56:26.929,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:56:26.930,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:56:26.944,UDP,192.168.0.178,43295,192.168.0.255,15600,77,
2026-05-22 16:56:27.050,DNS,192.168.0.160,5353,224.0.0.251,5353,82,
2026-05-22 16:56:27.052,DNS,192.168.0.160,5353,224.0.0.251,5353,123,
2026-05-22 16:56:27.054,DNS,192.168.0.160,5353,224.0.0.251,5353,397,
2026-05-22 16:56:27.055,DNS,192.168.0.160,5353,224.0.0.251,5353,190,
2026-05-22 16:56:27.056,DNS,192.168.0.160,5353,224.0.0.251,5353,81,
2026-05-22 16:56:27.058,DNS,192.168.0.160,5353,224.0.0.251,5353,220,
2026-05-22 16:56:27.459,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:28.956,HTTPS,192.168.0.236,50120,199.165.136.100,443,66,
2026-05-22 16:56:29.024,HTTPS,199.165.136.100,443,192.168.0.236,50120,84,
2026-05-22 16:56:29.097,UDP,192.168.0.99,40905,239.255.255.250,15600,77,
2026-05-22 16:56:29.404,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:29.917,UDP,192.168.0.178,50515,239.255.255.250,15600,77,
2026-05-22 16:56:31.147,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:56:31.656,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:32.066,UDP,192.168.0.99,53990,192.168.0.255,15600,77,
2026-05-22 16:56:32.476,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:32.886,UDP,192.168.0.178,48938,192.168.0.255,15600,77,
2026-05-22 16:56:34.319,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:35.036,UDP,192.168.0.99,47596,239.255.255.250,15600,77,
2026-05-22 16:56:35.960,UDP,192.168.0.178,54262,239.255.255.250,15600,77,
2026-05-22 16:56:36.674,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:36.940,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:56:36.952,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:56:36.953,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:56:37.492,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:38.108,UDP,192.168.0.99,34672,192.168.0.255,15600,77,
2026-05-22 16:56:38.927,UDP,192.168.0.178,52560,192.168.0.255,15600,77,
2026-05-22 16:56:39.336,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:41.078,UDP,192.168.0.99,47157,239.255.255.250,15600,77,
2026-05-22 16:56:41.180,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:56:41.692,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:56:41.896,UDP,192.168.0.178,55433,239.255.255.250,15600,77,
2026-05-22 16:56:42.511,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:56:43.548,HTTPS,192.168.0.236,33730,209.177.156.197,443,66,
2026-05-22 16:56:43.577,HTTPS,209.177.156.197,443,192.168.0.236,33730,84,
2026-05-22 16:56:44.046,UDP,192.168.0.99,42797,192.168.0.255,15600,77,
2026-05-22 16:56:44.354,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:56:44.456,HTTPS,192.200.0.114,443,192.168.0.236,35654,151,
2026-05-22 16:56:44.456,HTTPS,192.168.0.236,35654,192.200.0.114,443,66,
